Horizon,Method,Feature_Set,Model,CV_Fold,MAPE
12h,VMD,All Features,BiLSTM,3,2.0806417726403725
12h,VMD,All Features,Transformer,3,2.641468234530382
12h,VMD,Load Only,LinReg,1,3.819689702793844
12h,VMD,Load Only,MLP,1,3.9220662582698704
12h,VMD,Load Only,LSTM,1,4.153006895482307
12h,VMD,Load Only,BiLSTM,1,4.032017180242416
12h,VMD,Load Only,Transformer,1,4.4515394492767495
12h,VMD,Load Only,LinReg,2,3.754819636539276
12h,VMD,Load Only,MLP,2,2.9868358893220917
12h,VMD,Load Only,LSTM,2,3.377087276423764
12h,VMD,Load Only,BiLSTM,2,3.3336934168510983
12h,VMD,Load Only,Transformer,2,2.8053073352812574
12h,VMD,Load Only,LinReg,3,3.8698387210683887
12h,VMD,Load Only,MLP,3,3.158017451019589
12h,VMD,Load Only,LSTM,3,3.6376738365167394
12h,VMD,Load Only,BiLSTM,3,3.2390038789178877
12h,VMD,Load Only,Transformer,3,2.740716853525189
24h,Standard,All Features,LinReg,1,5.055932208644602
24h,Standard,All Features,MLP,1,11.41567791939576
24h,Standard,All Features,LSTM,1,9.25347320951112
24h,Standard,All Features,BiLSTM,1,8.187245557112128
24h,Standard,All Features,Transformer,1,5.152350809937366
24h,Standard,All Features,LinReg,2,5.005217098164598
24h,Standard,All Features,MLP,2,10.197755374829724
24h,Standard,All Features,LSTM,2,6.6903822258880075
24h,Standard,All Features,BiLSTM,2,5.78425934887492
24h,Standard,All Features,Transformer,2,4.486501695136409
24h,Standard,All Features,LinReg,3,5.0488343443392525
24h,Standard,All Features,MLP,3,7.591303293737757
24h,Standard,All Features,LSTM,3,6.463055058542844
24h,Standard,All Features,BiLSTM,3,5.187605596968173
24h,Standard,All Features,Transformer,3,4.22346859130985
24h,Standard,Load Only,LinReg,1,8.764551242578882
24h,Standard,Load Only,MLP,1,10.925129834399188
24h,Standard,Load Only,LSTM,1,8.812200135688695
24h,Standard,Load Only,BiLSTM,1,8.851806859613307
24h,Standard,Load Only,Transformer,1,8.865410793272185
24h,Standard,Load Only,LinReg,2,8.561198192067902
24h,Standard,Load Only,MLP,2,11.396357482782365
24h,Standard,Load Only,LSTM,2,8.739345214078588
24h,Standard,Load Only,BiLSTM,2,8.49778694637682
24h,Standard,Load Only,Transformer,2,8.722520180476769
24h,Standard,Load Only,LinReg,3,9.29477874334913
24h,Standard,Load Only,MLP,3,8.70575019520409
24h,Standard,Load Only,LSTM,3,9.3695787227414
24h,Standard,Load Only,BiLSTM,3,8.807672430849713
24h,Standard,Load Only,Transformer,3,8.595161097792342
24h,VMD,All Features,LinReg,1,5.055932208644602
24h,VMD,All Features,MLP,1,9.3223065684419
24h,VMD,All Features,LSTM,1,8.02687465621977
24h,VMD,All Features,BiLSTM,1,7.422105004880242
24h,VMD,All Features,Transformer,1,4.837039107899182
24h,VMD,All Features,LinReg,2,5.005217098164598
24h,VMD,All Features,MLP,2,6.638419128205279
24h,VMD,All Features,LSTM,2,6.3417964677510055
24h,VMD,All Features,BiLSTM,2,5.945926264959513
24h,VMD,All Features,Transformer,2,4.569451122639058
24h,VMD,All Features,LinReg,3,5.0488343443392525
24h,VMD,All Features,MLP,3,6.680254797640085
24h,VMD,All Features,LSTM,3,5.834030908449258
24h,VMD,All Features,BiLSTM,3,5.385230127076756
24h,VMD,All Features,Transformer,3,4.511077804189383
24h,VMD,Load Only,LinReg,1,5.716205873598102
24h,VMD,Load Only,MLP,1,9.715793936705824
24h,VMD,Load Only,LSTM,1,8.12996934372318
24h,VMD,Load Only,BiLSTM,1,7.497511039939961
24h,VMD,Load Only,Transformer,1,6.73109105555743
24h,VMD,Load Only,LinReg,2,5.623964912429614
24h,VMD,Load Only,MLP,2,7.564763569698732
24h,VMD,Load Only,LSTM,2,6.591370294916057
24h,VMD,Load Only,BiLSTM,2,6.922023440333349
24h,VMD,Load Only,Transformer,2,4.817701276479351
24h,VMD,Load Only,LinReg,3,5.696719937374106
24h,VMD,Load Only,MLP,3,6.196958479590987
24h,VMD,Load Only,LSTM,3,7.082720246148819
24h,VMD,Load Only,BiLSTM,3,6.690593681652281
24h,VMD,Load Only,Transformer,3,5.472264262277062
48h,Standard,All Features,LinReg,1,8.288866438895088
48h,Standard,All Features,MLP,1,10.375533720604897
48h,Standard,All Features,LSTM,1,9.627315843084304
48h,Standard,All Features,BiLSTM,1,9.000687821385633
48h,Standard,All Features,Transformer,1,7.783262062469877
48h,Standard,All Features,LinReg,2,7.947276688635154
48h,Standard,All Features,MLP,2,10.468560181474002
48h,Standard,All Features,LSTM,2,7.616293277405771
48h,Standard,All Features,BiLSTM,2,7.77711786022995
48h,Standard,All Features,Transformer,2,7.402056051566383
48h,Standard,All Features,LinReg,3,8.010838979846186
48h,Standard,All Features,MLP,3,9.417224143811376
48h,Standard,All Features,LSTM,3,7.740028945862895
48h,Standard,All Features,BiLSTM,3,7.062632952266992
48h,Standard,All Features,Transformer,3,6.702390421480045
48h,Standard,Load Only,LinReg,1,11.41815311930703
48h,Standard,Load Only,MLP,1,10.427959305273696
48h,Standard,Load Only,LSTM,1,11.588068544044908
48h,Standard,Load Only,BiLSTM,1,11.378414358103765
48h,Standard,Load Only,Transformer,1,10.528074315211013
48h,Standard,Load Only,LinReg,2,11.450993538046745
48h,Standard,Load Only,MLP,2,9.720286421125905
48h,Standard,Load Only,LSTM,2,11.41352315817049
48h,Standard,Load Only,BiLSTM,2,11.279872220587016
48h,Standard,Load Only,Transformer,2,10.116893524175744
48h,Standard,Load Only,LinReg,3,12.212087309084552
48h,Standard,Load Only,MLP,3,9.6222483366341
48h,Standard,Load Only,LSTM,3,11.999214647974851
48h,Standard,Load Only,BiLSTM,3,10.13663832406938
48h,Standard,Load Only,Transformer,3,10.08076074124224
48h,VMD,All Features,LinReg,1,8.288866438895088
48h,VMD,All Features,MLP,1,13.693313709334646
48h,VMD,All Features,LSTM,1,9.696902191679367
48h,VMD,All Features,BiLSTM,1,9.296149688523005
48h,VMD,All Features,Transformer,1,8.791052136829158
48h,VMD,All Features,LinReg,2,7.947276688635154
48h,VMD,All Features,MLP,2,10.040905451703463
48h,VMD,All Features,LSTM,2,8.055201600775563
48h,VMD,All Features,BiLSTM,2,7.40085088979764
48h,VMD,All Features,Transformer,2,7.123502895536631
48h,VMD,All Features,LinReg,3,8.010838979846186
48h,VMD,All Features,MLP,3,7.329001488748983
48h,VMD,All Features,LSTM,3,7.549043798100604
48h,VMD,All Features,BiLSTM,3,7.041238290809389
48h,VMD,All Features,Transformer,3,6.622271319152878
48h,VMD,Load Only,LinReg,1,9.974915815888632
48h,VMD,Load Only,MLP,1,10.680602618305738
48h,VMD,Load Only,LSTM,1,11.939506764294247
48h,VMD,Load Only,BiLSTM,1,11.699561554182008
48h,VMD,Load Only,Transformer,1,9.822307491833307
48h,VMD,Load Only,LinReg,2,9.648764431625684
48h,VMD,Load Only,MLP,2,11.269024022697566
48h,VMD,Load Only,LSTM,2,10.147803021393297
48h,VMD,Load Only,BiLSTM,2,10.17276428843511
48h,VMD,Load Only,Transformer,2,8.731979920643985
48h,VMD,Load Only,LinReg,3,10.248846269545316
48h,VMD,Load Only,MLP,3,10.674889783911198
48h,VMD,Load Only,LSTM,3,11.422177185851142
48h,VMD,Load Only,BiLSTM,3,9.734915873382462
48h,VMD,Load Only,Transformer,3,8.747558204441345
72h,Standard,All Features,LinReg,1,9.569080016472277
72h,Standard,All Features,MLP,1,14.335137069194595
72h,Standard,All Features,LSTM,1,9.42512078538196
72h,Standard,All Features,BiLSTM,1,9.434584844754665
72h,Standard,All Features,Transformer,1,9.954368190094419
72h,Standard,All Features,LinReg,2,9.18499745188523
72h,Standard,All Features,MLP,2,11.14602491522509
72h,Standard,All Features,LSTM,2,8.832701390544036
72h,Standard,All Features,BiLSTM,2,8.50679924291856
72h,Standard,All Features,Transformer,2,8.172498535571929
72h,Standard,All Features,LinReg,3,9.732740568284598
72h,Standard,All Features,MLP,3,8.475160738725549
72h,Standard,All Features,LSTM,3,9.09794728537858
72h,Standard,All Features,BiLSTM,3,8.701239057176858
72h,Standard,All Features,Transformer,3,8.021711486583623
72h,Standard,Load Only,LinReg,1,11.730757735787531
72h,Standard,Load Only,MLP,1,10.4271184436423
72h,Standard,Load Only,LSTM,1,12.491180092385727
72h,Standard,Load Only,BiLSTM,1,11.219673803662497
72h,Standard,Load Only,Transformer,1,10.51844024609387
72h,Standard,Load Only,LinReg,2,11.820685776452805
72h,Standard,Load Only,MLP,2,9.857172129213822
72h,Standard,Load Only,LSTM,2,11.844253167784336
72h,Standard,Load Only,BiLSTM,2,10.290552382663048
72h,Standard,Load Only,Transformer,2,10.287193636454314
72h,Standard,Load Only,LinReg,3,12.527943335684446
72h,Standard,Load Only,MLP,3,10.214751245770955
72h,Standard,Load Only,LSTM,3,11.814656409355846
72h,Standard,Load Only,BiLSTM,3,10.053517792586163
72h,Standard,Load Only,Transformer,3,10.76340460307213
72h,VMD,All Features,LinReg,1,9.569080016472277
72h,VMD,All Features,MLP,1,10.205348408583351
72h,VMD,All Features,LSTM,1,9.635914789314887
72h,VMD,All Features,BiLSTM,1,9.854377608785619
72h,VMD,All Features,Transformer,1,8.729651077167654
72h,VMD,All Features,LinReg,2,9.18499745188523
72h,VMD,All Features,MLP,2,8.924671236461258
72h,VMD,All Features,LSTM,2,8.628347857017475
72h,VMD,All Features,BiLSTM,2,8.84416812380836
72h,VMD,All Features,Transformer,2,9.419411045262168
72h,VMD,All Features,LinReg,3,9.732740568284598
72h,VMD,All Features,MLP,3,9.027986586428328
72h,VMD,All Features,LSTM,3,9.079809252375238
72h,VMD,All Features,BiLSTM,3,8.571252531439681
72h,VMD,All Features,Transformer,3,8.12688070583741
72h,VMD,Load Only,LinReg,1,11.585833902639026
72h,VMD,Load Only,MLP,1,14.159606574582531
72h,VMD,Load Only,LSTM,1,12.034053516363617
72h,VMD,Load Only,BiLSTM,1,11.2758178760117
72h,VMD,Load Only,Transformer,1,10.068651222261177
72h,VMD,Load Only,LinReg,2,11.540346326366794
72h,VMD,Load Only,MLP,2,12.30351560466396
72h,VMD,Load Only,LSTM,2,12.041784144624485
72h,VMD,Load Only,BiLSTM,2,12.265756124119296
72h,VMD,Load Only,Transformer,2,10.125317107728279
72h,VMD,Load Only,LinReg,3,12.173312650695316
72h,VMD,Load Only,MLP,3,11.196800662894892
72h,VMD,Load Only,LSTM,3,11.21502918638868
72h,VMD,Load Only,BiLSTM,3,10.695025928817959
72h,VMD,Load Only,Transformer,3,9.037817021702175
