AT_load_actual_entsoe_transparency,temperature_2m (°C),rain (mm),relative_humidity_2m (%),sunshine_duration (s),Hour,DayOfWeek,Month,Is_Weekend,Hour_sin,Hour_cos,Month_sin,Month_cos,Is_Holiday,Load_Lag_1h,Load_Lag_24h,Load_Lag_168h,Load_Rolling_Mean_24h,Temp_Rolling_Mean_24h
6398.0,-2.5,0.0,79,0.0,3,4,1,0,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0,6526.0,6302.0,4756.0,7506.083333333333,-5.1499999999999995
6978.0,-2.4,0.0,84,0.0,4,4,1,0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,6398.0,6601.0,5080.0,7510.083333333333,-4.825
7006.0,-2.3,0.0,88,0.0,5,4,1,0,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0,6978.0,7193.0,5422.0,7525.791666666667,-4.483333333333333
6886.0,-2.2,0.0,89,0.0,6,4,1,0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0,7006.0,7686.0,5856.0,7518.0,-4.125
6947.0,-2.6,0.0,91,0.0,7,4,1,0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0,6886.0,8061.0,6366.0,7484.666666666667,-3.7541666666666664
6750.0,-3.4,0.0,92,2609.54,8,4,1,0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0,6947.0,8289.0,6431.0,7438.25,-3.429166666666667
6491.0,-2.4,0.0,89,3600.0,9,4,1,0,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0,6750.0,7662.0,6699.0,7374.125,-3.158333333333333
6067.0,-0.7,0.0,80,3600.0,10,4,1,0,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,0,6491.0,7548.0,6543.0,7325.333333333333,-2.9625000000000004
5986.0,-0.4,0.0,80,0.0,11,4,1,0,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,0,6067.0,7753.0,6310.0,7263.625,-2.883333333333333
6146.0,0.1,0.0,80,0.0,12,4,1,0,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,0,5986.0,7959.0,6257.0,7190.0,-2.8625000000000003
6583.0,0.5,0.0,77,3600.0,13,4,1,0,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,0,6146.0,8037.0,6307.0,7114.458333333333,-2.85
6228.0,0.3,0.0,79,0.0,14,4,1,0,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,0,6583.0,7986.0,6502.0,7053.875,-2.8000000000000003
6776.0,0.1,0.0,80,0.0,15,4,1,0,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,0,6228.0,8117.0,6889.0,6980.625,-2.7624999999999997
6768.0,-0.3,0.0,82,0.0,16,4,1,0,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0,6776.0,8256.0,5972.0,6924.75,-2.6791666666666667
6714.0,-0.8,0.0,87,0.0,17,4,1,0,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0,6768.0,8340.0,5892.0,6862.75,-2.5875
6382.0,-1.1,0.0,91,0.0,18,4,1,0,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0,6714.0,8259.0,5807.0,6795.0,-2.5083333333333333
5702.0,-0.9,0.0,91,0.0,19,4,1,0,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,0,6382.0,7917.0,5313.0,6716.791666666667,-2.4125
5410.0,-0.9,0.0,93,0.0,20,4,1,0,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,5702.0,7268.0,5379.0,6624.5,-2.2041666666666666
5596.0,-0.9,0.0,94,0.0,21,4,1,0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,0,5410.0,7185.0,5325.0,6547.083333333333,-1.9541666666666666
5627.0,-1.0,0.0,96,0.0,22,4,1,0,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,0,5596.0,7322.0,5145.0,6480.875,-1.7208333333333332
5731.0,-1.0,0.0,97,0.0,23,4,1,0,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,0,5627.0,6851.0,5827.0,6410.25,-1.4958333333333333
5658.0,-0.9,0.0,99,0.0,0,5,1,1,0.0,1.0,0.49999999999999994,0.8660254037844387,0,5731.0,6560.0,5779.0,6363.583333333333,-1.3499999999999999
4936.0,-0.8,0.2,99,0.0,1,5,1,1,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0,5658.0,6468.0,5467.0,6326.0,-1.25
5118.0,-0.6,0.6,98,0.0,2,5,1,1,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0,4936.0,6526.0,5201.0,6262.166666666667,-1.2
5352.0,-0.3,0.8,98,0.0,3,5,1,1,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0,5118.0,6398.0,5244.0,6203.5,-1.1291666666666667
5493.0,0.2,0.5,97,0.0,4,5,1,1,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,5352.0,6978.0,5405.0,6159.916666666667,-1.0374999999999999
5650.0,0.7,0.1,95,0.0,5,5,1,1,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0,5493.0,7006.0,5402.0,6098.041666666667,-0.9291666666666667
6385.0,1.1,0.0,94,0.0,6,5,1,1,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0,5650.0,6886.0,5553.0,6041.541666666667,-0.8041666666666667
6803.0,2.4,0.0,88,0.0,7,5,1,1,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0,6385.0,6947.0,5476.0,6020.666666666667,-0.6666666666666666
6964.0,3.3,0.0,87,568.92,8,5,1,1,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0,6803.0,6750.0,5612.0,6014.666666666667,-0.4583333333333333
